Facility ID,Facility Name,Address Line 1,Address Line 2,City,State,ZIP,Latitude,Longitude,Total Rated Electric Generation (kW),Total Rated Heat Generation (MBtu/h),Total Rated Electrical Discharge Capacity (kW),Total Rated Electrical Storage Capacity (kWh),Total Rated Cooling Energy Discharge Capacity (ton),Total Equivalent Electrical Discharge Capacity from Cooling Sources (kW),Total Rated Cooling Energy Storage Capacity (ton-hour),Total Equivalent Electrical Storage Capacity from Cooling Sources (kWh),Total Rated Thermal Energy Discharge Capacity (MBtu/h),Total Equivalent Electrical Discharge Capacity from Thermal Sources (kW),Total Rated Thermal Energy Storage Capacity (MBtu),Total Equivalent Electrical Storage Capacity from Thermal Sources (kWh),Facility Submits Data on Electricity Imported from Utility?,Source Weather Station for Ambient Temperature Data,Metric Data Last Modified,Installed Systems,Alternate Name(s),Facility Website (external),Category,Subcategory,Floor Area (ft²),No. of Occupancy Units,Electric Utility,Gas Utility,NYISO Zone,Located in Flood Plain
1035,Facility A in zip code 13341,,,Rome,NY,13341,43.036086,-75.396891,0,0,0,0,0,0,1600,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,E - Mohawk Valley,
1036,Facility A in zip code 14609,,,Rochester,NY,14609,43.177093,-77.554873,0,0,0,0,0,0,800,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,Education,,,,Rochester Gas and Electric,,B - Genessee,
1037,Facility A in zip code 14604,,,Rochester,NY,14604,43.156696,-77.605248,0,0,0,0,0,0,160,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,Public Assembly,Recreation,,,Rochester Gas and Electric,,B - Genessee,
1038,Facility A in zip code 14622,,,Irondequiot,NY,14622,43.214859,-77.552353,0,0,0,0,0,0,1440,0,0,0,0,0,FALSE,Custom,8/2/19 13:55,1,,,Mercantile (Enclosed and Strip Malls),Enclosed Mall,,,Rochester Gas and Electric,,B - Genessee,
1039,Facility A in zip code 14760,,,Olean,NY,14760,42.074438,-78.413393,0,0,0,0,0,0,1280,0,0,0,0,0,FALSE,Custom,8/2/19 13:55,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,A - West,
1040,Facility A in zip code 14821,,,Campbell,NY,14821,42.241574,-77.219254,0,0,0,0,0,0,2880,0,0,0,0,0,FALSE,Custom,8/2/19 13:55,1,,,Education,,,,New York State Electric and Gas,,C - Central,
1041,Facility A in zip code 14840,,,Hammondsport,NY,14840,42.441653,-77.194396,0,0,0,0,0,0,480,0,0,0,0,0,FALSE,Custom,8/2/19 13:55,1,,,Education,,,,New York State Electric and Gas,,C - Central,
1042,Facility B in zip code 14840,,,Hammondsport,NY,14840,42.441653,-77.194396,0,0,0,0,0,0,800,0,0,0,0,0,FALSE,Custom,8/2/19 13:55,1,,,Education,,,,New York State Electric and Gas,,C - Central,
1043,Facility C in zip code 14840,,,Hammondsport,NY,14840,42.441653,-77.194396,0,0,0,0,0,0,800,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,Education,,,,New York State Electric and Gas,,C - Central,
1044,Facility A in zip code 14843,,,Hornell,NY,14843,42.320079,-77.646339,0,0,0,0,0,0,1280,0,0,0,0,0,FALSE,Custom,8/2/19 14:01,1,,,Education,,,,New York State Electric and Gas,,C - Central,
1045,Facility B in zip code 14843,,,Hornell,NY,14843,42.320079,-77.646339,0,0,0,0,0,0,320,0,0,0,0,0,FALSE,Custom,8/2/19 14:01,1,,,Education,,,,New York State Electric and Gas,,C - Central,
