Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed In-Service,Proposed Initial-Sync,Proposed COD
201,NRG Energy,Berrians GT,8/17/05,200,200,CC,Queens,NY,J,Astoria West Substation 138kV,CONED,0,7/31/15,,,,,
202,Liberty Generating Co.,130 MW Uprate,8/25/05,130,130,CT,New York-NJ,NY,,Goethal 345kV,CONED,0,3/6/19,,,,,
203,"GenWy Wind, LLC",GenWy Wind Farm,10/21/05,478.5,478.5,W,Genesee,NY,A,Stolle Rd - Homer City 345kV,NYSEG,0,3/31/10,,,,,
204,Clipper Windpower Dev. Co. Inc.,Paragon II Wind Generation,10/27/05,150,150,W,Steuben,NY,C,Avoca - Hillside 230kV,NYSEG,0,8/19/08,,,,,
0204A,"Duer's Patent Project, LLC",Beekmantown Windfarm,10/31/05,19.5,19.5,W,Clinton,NY,D,Kents Falls - Sciota 115kV,NYSEG,0,3/31/13,,,,,
207,"Cape Vincent Wind Power, LLC",Cape Vincent,1/12/06,209.3,209.3,W,Jefferson,NY,E,Rockledge Substation 115kV,NM-NG,0,2/28/14,,,,,
208,"CRC Development, LLC",Roundhouse Renewable,1/17/06,35,36,ST,Otsego,NY,,City of Oneonta,NYSEG,0,9/25/06,,,,,
209,"SUEZ Energy Generating NA, Inc",Nassau Generating,2/10/06,88,100,CT,Nassau,NY,,Garden City Substation 138kV,LIPA,0,7/10/07,,,,,
210,"Canadian Niagara Power, Inc.",Fortran,3/14/06,150,150,AC,Niagara,NY,A,Huntley Station 115kV,NM-NG,0,3/31/10,,,,,
213,"Noble Environmental Power, LLC",Ellenburg II Windfield,4/3/06,21,21,W,Clinton,NY,D,Willis-Plattsburgh WP-2 230kV,NYPA,0,4/30/13,,,,,
215,"Noble Burke Windpark, LLC",Noble Burke Windpark,4/3/06,120,120,W,Franklin-Clinton,NY,D,Willis Substation 230kV,NYPA,0,2/5/09,,,,,
217,"AES Keystone Wind, LLC",Cherry Flats,6/6/06,90,90,W,Tioga,PA,C,Homer City-Watercure 345kV,NYSEG,0,12/22/08,,,,,
218,Gamesa Energy USA,Endless Mountain Wind,7/3/06,150,150,W,Tioga - Bradford,PA,,Homer City-Watercure 345kV,NYSEG,0,7/27/06,,,,,
219,"NRG Energy, Inc.",Huntley,7/12/06,752,752,CC,Niagara,NY,A,Tonawanda,NM-NG,0,12/22/08,,,,,
220,"AES Keystone Wind, LLC",Armenia Mountain I,7/19/06,175,175,W,Bradford,PA,C,Homer City-Watercure 345kV,NYSEG,0,8/19/08,,,,,
